quantity,UnitePrice,discount,date,retail price,product_name,area,city
33,16,20,2021-10-29T03:33:52Z,16,product y,Bahary,North
30,16,20,2021-10-23T12:29:27Z,16,product y,Dar El-Salam,Cairo
2,45,30,2021-08-03T09:14:16Z,45,product z,Miamy,North
3,16,3,2021-08-17T09:00:50Z,16,product y,Miamy,North
1,45,27,2021-09-06T19:57:02Z,45,product z,Miamy,North
1,102,35,2021-09-06T19:57:11Z,89.75,product x ,Miamy,North
2,45,20,2021-09-07T23:41:54Z,45,product z,Miamy,North
1,45,27,2021-09-10T22:59:34Z,45,product z,Miamy,North
1,102,36,2021-09-10T22:59:34Z,89.75,product x ,Miamy,North
9,89.75,31,2022-02-28T01:10:56Z,99,product x ,Hadayek El-Kobba,Cairo
1,16,1,2022-05-20T19:54:22Z,16,product y,Hadayek El-Kobba,Cairo
2,16,1,2022-05-22T07:47:49Z,16,product y,Hadayek El-Kobba,Cairo
1,16,9,2021-04-30T20:56:54Z,16,product y,Ain Shams,Cairo
2,99,36,2022-09-20T14:16:10Z,99,product x ,Ain Shams,Cairo
3,99,33,2022-11-21T11:44:46Z,99,product x ,Ain Shams,Cairo
4,45,31,2022-11-21T11:44:46Z,45,product z,Ain Shams,Cairo
4,99,36,2022-12-28T23:22:37Z,99,product x ,Ain Shams,Cairo
2,99,34,2023-01-11T13:30:41Z,99,product x ,Ain Shams,Cairo
2000,16,20,2022-03-07T07:25:34Z,16,product y,Nasr City,Cairo
3,102,33,2021-12-15T01:45:08Z,99,product x ,Nasr City,Cairo
3,89.75,32,2022-04-18T00:22:24Z,99,product x ,Nasr City,Cairo
2,89.75,32,2022-05-05T01:27:08Z,99,product x ,Nasr City,Cairo
2,89.75,30,2022-07-16T03:18:28Z,11,product x ,Nasr City,Cairo
20,16,20,2022-09-18T03:22:27Z,16,product y,Nasr City,Cairo
3,99,33,2022-09-18T03:22:27Z,11,product x ,Nasr City,Cairo
5,16,20,2022-09-20T12:33:33Z,16,product y,Nasr City,Cairo
3,99,34,2022-09-24T03:42:15Z,99,product x ,Nasr City,Cairo
5,45,33,2022-09-24T03:42:16Z,45,product z,Nasr City,Cairo
5,99,36,2022-11-09T04:35:51Z,99,product x ,Nasr City,Cairo
2,99,33,2022-12-11T04:02:35Z,11,product x ,Nasr City,Cairo
2,99,34,2022-12-27T04:44:35Z,99,product x ,Nasr City,Cairo
2,99,34,2023-01-02T05:24:41Z,99,product x ,Nasr City,Cairo
3,99,33,2023-01-14T04:50:05Z,11,product x ,Nasr City,Cairo
3,45,29,2023-01-16T06:08:48Z,45,product z,Nasr City,Cairo
3,45,32,2022-12-12T13:29:10Z,45,product z,Faisal,Giza
5,99,34,2022-11-23T13:06:06Z,99,product x ,El-Haram,Giza
5,102,33,2021-03-31T11:38:58Z,102,product x ,El-Mokattam,Cairo
2,102,33,2021-08-02T14:04:24Z,99,product x ,El-Mokattam,Cairo
10,16,9,2021-05-08T14:12:52Z,16,product y,El-Zaitoun,Cairo
10,45,22,2021-05-08T14:12:52Z,45,product z,El-Zaitoun,Cairo
100,89.75,33,2022-03-15T12:50:07Z,89.75,product x ,El-Mandara,North
5,99,33,2022-12-13T15:14:00Z,99,product x ,Nasr City,Cairo
2,102,36,2021-10-16T09:59:03Z,99,product x ,6th of October,Giza
5,99,33,2022-10-24T09:30:36Z,99,product x ,Heliopolis,Cairo
10,16,20,2021-06-11T01:06:16Z,16,product y,Damanhur,North
1,99,36,2022-09-28T07:29:27Z,99,product x ,6th of October,Giza
10,16,20,2021-10-22T19:34:59Z,16,product y,El-Seyouf,North
1,102,35,2021-10-24T21:05:22Z,89.75,product x ,El-Seyouf,North
2,45,27,2021-10-26T12:16:26Z,45,product z,El-Seyouf,North
1,45,27,2021-10-31T09:01:48Z,45,product z,El-Seyouf,North
2,102,33,2021-11-04T09:50:55Z,89.75,product x ,El-Seyouf,North
2,45,27,2021-11-06T10:58:28Z,45,product z,El-Seyouf,North
2,45,27,2021-11-07T13:10:34Z,45,product z,El-Seyouf,North
2,16,1,2022-06-18T11:45:10Z,16,product y,El-Seyouf,North
2,45,27,2022-06-21T12:43:55Z,45,product z,El-Seyouf,North
2,16,1,2022-06-23T00:22:00Z,16,product y,El-Seyouf,North
1,89.75,34,2022-07-05T08:56:49Z,99,product x ,El-Seyouf,North
1,89.75,31,2022-07-05T21:19:15Z,89.75,product x ,El-Seyouf,North
2,16,3,2022-07-05T21:19:15Z,16,product y,El-Seyouf,North
4,16,9,2022-07-15T00:12:28Z,16,product y,El-Seyouf,North
2,45,27,2022-07-21T08:21:48Z,45,product z,El-Seyouf,North
3,16,20,2022-07-21T08:21:49Z,16,product y,El-Seyouf,North
3,16,20,2022-07-23T07:45:59Z,16,product y,El-Seyouf,North
7,16,1,2022-07-28T01:03:31Z,16,product y,El-Seyouf,North
3,16,15,2022-07-28T12:56:54Z,16,product y,El-Seyouf,North
2,45,28,2022-07-28T12:56:55Z,45,product z,El-Seyouf,North
1,99,29,2022-08-02T10:42:48Z,99,product x ,El-Seyouf,North
2,16,1,2022-08-03T12:00:20Z,16,product y,El-Seyouf,North
1,99,29,2022-08-07T09:27:18Z,99,product x ,El-Seyouf,North
3,16,12,2022-08-13T02:57:29Z,16,product y,El-Seyouf,North
1,16,12,2022-08-21T13:50:12Z,16,product y,El-Seyouf,North
1,16,12,2022-08-21T13:50:13Z,16,product y,El-Seyouf,North
4,16,13,2022-08-27T20:43:21Z,16,product y,El-Seyouf,North
1,99,29,2022-09-03T13:33:20Z,0,product x ,El-Seyouf,North
1,99,33,2022-09-04T23:47:04Z,99,product x ,El-Seyouf,North
2,16,18,2022-09-10T01:27:26Z,16,product y,El-Seyouf,North
1,45,32,2022-09-19T07:59:53Z,45,product z,El-Seyouf,North
2,16,19,2022-09-30T22:29:43Z,16,product y,El-Seyouf,North
2,16,19,2022-10-08T06:54:54Z,16,product y,El-Seyouf,North
3,16,21,2022-10-18T07:20:13Z,16,product y,El-Seyouf,North
1,99,34,2022-10-18T07:20:14Z,99,product x ,El-Seyouf,North
3,16,21,2022-10-22T12:33:21Z,16,product y,El-Seyouf,North
2,99,33,2022-10-22T13:01:34Z,99,product x ,El-Seyouf,North
3,16,17,2022-11-02T23:07:28Z,16,product y,El-Seyouf,North
1,45,28,2022-11-02T23:07:28Z,45,product z,El-Seyouf,North
1,99,32,2022-11-09T12:21:26Z,99,product x ,El-Seyouf,North
3,16,17,2022-11-09T12:21:27Z,16,product y,El-Seyouf,North
3,16,7,2022-11-16T10:10:46Z,0,product y,El-Seyouf,North
3,16,8,2022-11-23T09:52:32Z,16,product y,El-Seyouf,North
1,99,33,2022-11-24T08:48:33Z,99,product x ,El-Seyouf,North
1,99,35,2022-12-02T20:27:40Z,99,product x ,El-Seyouf,North
2,16,7,2022-12-05T07:46:47Z,16,product y,El-Seyouf,North
1,99,31,2022-12-06T05:16:05Z,99,product x ,El-Seyouf,North
1,99,33,2022-12-15T11:37:22Z,0,product x ,El-Seyouf,North
3,16,8,2022-12-16T15:58:10Z,16,product y,El-Seyouf,North
1,99,34,2022-12-18T12:13:07Z,99,product x ,El-Seyouf,North
3,16,6,2022-12-22T09:41:37Z,16,product y,El-Seyouf,North
2,45,31,2022-12-23T20:14:41Z,0,product z,El-Seyouf,North
1,22,21,2023-01-02T07:54:06Z,0,product y,El-Seyouf,North
2,16,8,2023-01-02T07:54:07Z,16,product y,El-Seyouf,North
1,99,33,2023-01-07T21:38:17Z,99,product x ,El-Seyouf,North
3,16,6,2023-01-10T13:07:38Z,16,product y,El-Seyouf,North
1,99,27,2023-01-16T20:42:42Z,99,product x ,El-Seyouf,North
3,102,34,2021-08-19T12:58:58Z,99,product x ,Nasr City,Cairo
5,99,32,2022-11-01T20:29:19Z,99,product x ,Nasr City,Cairo
2,99,33,2022-12-08T13:51:25Z,99,product x ,Nasr City,Cairo
1,99,34,2022-12-28T12:52:10Z,99,product x ,Nasr City,Cairo
2,45,23.5,2022-02-09T11:24:31Z,45,product z,Nasr City,Cairo
2,45,23.5,2022-02-12T12:21:57Z,45,product z,Nasr City,Cairo
2,89.75,31,2022-03-17T11:34:43Z,99,product x ,Nasr City,Cairo
3,89.75,32,2022-04-19T11:06:10Z,99,product x ,Nasr City,Cairo
3,45,31,2022-04-20T12:38:54Z,45,product z,Nasr City,Cairo
5,16,2,2022-04-30T11:41:05Z,16,product y,Nasr City,Cairo
2,16,1,2022-05-01T11:41:55Z,16,product y,Nasr City,Cairo
3,89.75,32,2022-05-11T12:05:01Z,99,product x ,Nasr City,Cairo
1,16,1,2022-05-12T11:08:26Z,16,product y,Nasr City,Cairo
3,45,29,2022-05-13T14:14:53Z,45,product z,Nasr City,Cairo
3,16,1,2022-05-15T10:53:11Z,16,product y,Nasr City,Cairo
10,89.75,32,2022-07-20T10:54:31Z,99,product x ,Heliopolis,Cairo
5,45,28,2022-11-01T14:04:50Z,45,product z,Heliopolis,Cairo
5,45,30,2022-11-01T14:41:03Z,45,product z,Heliopolis,Cairo
3,102,37,2021-10-24T22:19:45Z,99,product x ,6th of October,Giza
1,102,29,2021-11-03T22:47:42Z,99,product x ,6th of October,Giza
1,16,2,2022-06-28T19:19:57Z,16,product y,6th of October,Giza
1,45,26,2022-07-18T08:16:18Z,45,product z,6th of October,Giza
10,99,32,2022-12-11T17:37:56Z,99,product x ,Burj Al-Arab,North
6,89.75,29,2022-02-19T13:28:06Z,99,product x ,Smouha,North
1,45,32,2022-09-28T07:57:33Z,45,product z,Sidy Gaber,North
1,45,32,2022-10-08T06:54:35Z,45,product z,Sidy Gaber,North
1,99,32,2022-10-09T20:40:49Z,99,product x ,Sidy Gaber,North
5,16,19,2022-10-09T20:40:49Z,16,product y,Sidy Gaber,North
1,99,31,2022-10-14T21:57:50Z,99,product x ,Sidy Gaber,North
2,45,32,2022-10-17T00:08:13Z,45,product z,Sidy Gaber,North
5,16,21,2022-10-18T23:55:56Z,16,product y,Sidy Gaber,North
1,45,30,2022-10-21T23:17:19Z,45,product z,Sidy Gaber,North
2,45,22,2022-10-24T23:01:47Z,0,product z,Sidy Gaber,North
3,16,19,2022-10-26T22:44:07Z,16,product y,Sidy Gaber,North
3,45,28,2022-11-02T22:40:12Z,45,product z,Sidy Gaber,North
1,45,30,2022-12-06T22:57:40Z,45,product z,Sidy Gaber,North
6,45,30,2023-01-03T22:35:42Z,45,product z,Sidy Gaber,North
10,22,23,2023-01-11T22:07:32Z,0,product y,Sidy Gaber,North
5,89.75,30,2022-01-26T20:46:02Z,99,product x ,El-Minia City,Giza
1,16,3,2021-09-30T11:17:47Z,16,product y,Miamy,North
5,16,13,2022-09-05T22:58:10Z,16,product y,El-Mokattam,Cairo
5,45,29,2022-09-13T23:35:51Z,45,product z,El-Mokattam,Cairo
10,16,19.5,2022-10-22T11:52:28Z,22,product y,El-Mokattam,Cairo
2,99,33.1,2022-11-02T17:24:59Z,99,product x ,El-Mokattam,Cairo
5,45,27,2022-11-16T04:32:11Z,45,product z,El-Mokattam,Cairo
6,45,26,2022-07-17T00:31:17Z,45,product z,Imbaba,Giza
5,16,11,2022-08-04T01:02:56Z,22,product y,Imbaba,Giza
5,16,10,2022-08-04T01:02:57Z,16,product y,Imbaba,Giza
6,16,13,2022-08-21T12:27:26Z,16,product y,Imbaba,Giza
6,22,22,2022-12-19T14:11:52Z,22,product y,Imbaba,Giza
10,16,20,2021-05-22T10:56:31Z,16,product y,Bakos,North
1,102,37,2021-10-23T09:38:15Z,99,product x ,Hadayek El-Ahram,Giza
2,45,25,2021-12-10T20:59:25Z,45,product z,Hadayek El-Ahram,Giza
2,102,34,2021-12-11T23:02:57Z,99,product x ,Hadayek El-Ahram,Giza
10,16,3,2021-05-25T20:24:59Z,16,product y,El-Mandara,North
15,16,9,2021-05-27T03:51:00Z,16,product y,Dayrout,Giza
4,16,20,2021-05-27T17:22:23Z,16,product y,Miamy,North
5,16,3,2021-06-08T09:10:17Z,16,product y,Miamy,North
2,102,33,2021-06-08T09:10:17Z,102,product x ,Miamy,North
1,16,1,2021-06-09T08:39:40Z,16,product y,Miamy,North
2,45,21,2021-06-09T08:57:46Z,45,product z,Miamy,North
5,16,4,2021-06-16T09:33:19Z,16,product y,Miamy,North
5,16,4,2021-06-16T11:21:54Z,24,product y,Miamy,North
2,45,20,2021-09-09T10:27:27Z,45,product z,Miamy,North
1,45,29,2022-10-20T12:45:38Z,0,product z,Sidy Bishr,North
1,45,26,2022-11-17T17:55:16Z,55,product z,Sidy Bishr,North
2,102,35,2021-08-26T10:51:29Z,89.75,product x ,Moharam Bek,North
4,89.75,29,2022-01-27T11:51:20Z,89.75,product x ,Moharam Bek,North
1,16,3,2021-10-02T08:59:08Z,16,product y,El-Agamy,North
25,16,20,2021-10-02T09:00:39Z,16,product y,El-Agamy,North
5,45,25,2021-10-05T18:22:01Z,45,product z,El-Agamy,North
5,102,36,2021-10-07T12:20:55Z,89.75,product x ,El-Agamy,North
5,102,35,2021-10-31T09:14:09Z,99,product x ,El-Agamy,North
5,45,27,2021-10-31T09:14:19Z,45,product z,El-Agamy,North
5,102,33,2021-10-31T17:16:58Z,89.75,product x ,El-Agamy,North
4,102,33,2021-11-09T13:59:07Z,89.75,product x ,El-Agamy,North
2,102,33,2021-11-17T11:52:58Z,89.75,product x ,El-Agamy,North
5,102,35,2021-11-23T11:35:01Z,89.75,product x ,El-Agamy,North
5,102,33,2021-11-30T11:06:18Z,89.75,product x ,El-Agamy,North
3,45,27,2021-12-05T10:59:15Z,45,product z,El-Agamy,North
2,16,0,2021-12-14T11:15:32Z,24,product y,El-Agamy,North
5,45,9,2022-01-30T11:23:10Z,45,product z,El-Agamy,North
2,45,27,2022-03-14T10:13:18Z,45,product z,El-Agamy,North
3,45,31,2022-04-01T20:21:56Z,45,product z,El-Agamy,North
3,45,23.5,2022-02-10T10:23:05Z,45,product z,El-Mokattam,Cairo
2,89.75,30,2022-02-15T11:13:55Z,99,product x ,El-Mokattam,Cairo
4,45,30,2022-04-04T10:16:30Z,45,product z,El-Mokattam,Cairo
3,45,31,2022-04-06T09:54:31Z,45,product z,El-Mokattam,Cairo
5,89.75,32,2022-04-16T11:12:55Z,99,product x ,El-Mokattam,Cairo
4,45,31,2022-04-17T10:38:51Z,45,product z,El-Mokattam,Cairo
3,89.75,32,2022-04-27T23:21:50Z,99,product x ,El-Mokattam,Cairo
2,45,31,2022-04-28T22:55:04Z,45,product z,El-Mokattam,Cairo
10,16,20,2021-06-06T09:55:47Z,16,product y,Sidy Gaber,North
2,16,9,2022-11-19T14:17:21Z,22,product y,Nasr City,Cairo
2,99,36,2022-12-11T09:30:59Z,99,product x ,Nasr City,Cairo
1,99,36,2022-12-26T10:52:06Z,99,product x ,Nasr City,Cairo
1,45,31,2023-01-01T20:44:20Z,45,product z,Nasr City,Cairo
1,99,34,2023-01-01T20:44:21Z,99,product x ,Nasr City,Cairo
1,45,31,2023-01-01T20:44:21Z,45,product z,Nasr City,Cairo
1,99,34,2023-01-01T20:44:24Z,99,product x ,Nasr City,Cairo
1,45,31,2023-01-03T21:27:19Z,45,product z,Nasr City,Cairo
1,99,34,2023-01-07T09:45:02Z,99,product x ,Nasr City,Cairo
2,99,35,2023-01-08T15:40:11Z,99,product x ,Nasr City,Cairo
4,22,24,2023-01-11T11:33:22Z,22,product y,Nasr City,Cairo
1,45,30,2023-01-11T21:59:00Z,45,product z,Nasr City,Cairo
3,22,21,2023-01-11T21:59:01Z,22,product y,Nasr City,Cairo
3,99,35,2023-01-14T14:22:57Z,99,product x ,Nasr City,Cairo
30,16,20,2021-10-21T00:16:50Z,16,product y,Hadayek El-Ahram,Giza
3,45,30,2022-01-20T20:55:25Z,45,product z,Hadayek El-Ahram,Giza
6,16,8,2022-07-14T22:44:45Z,16,product y,Hadayek El-Ahram,Giza
2,45,25,2021-12-22T20:29:26Z,45,product z,Beni Suef City,Giza
2,16,13,2022-08-13T21:26:04Z,16,product y,Beni Suef City,Giza
2,16,3,2021-10-14T15:05:45Z,16,product y,Sidy Bishr,North
1,16,0,2021-10-25T09:33:51Z,16,product y,Sidy Bishr,North
3,102,33,2021-11-20T14:28:11Z,89.75,product x ,Sidy Bishr,North
3,45,28,2021-11-21T11:31:01Z,45,product z,Sidy Bishr,North
3,102,33,2021-11-21T11:31:10Z,89.75,product x ,Sidy Bishr,North
5,102,34,2021-11-29T14:48:45Z,89.75,product x ,Sidy Bishr,North
1,45,27,2022-05-20T14:58:58Z,45,product z,Sidy Bishr,North
5,89.75,33,2022-06-21T16:52:36Z,99,product x ,Sidy Bishr,North
5,89.75,31,2022-07-06T22:45:30Z,99,product x ,Sidy Bishr,North
